ID,Retailer,Retailer ID,Invoice Date,Region,State,City,Gender Type,Product Category,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
1,Foot Locker,1185732,26-10-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,55,125,68750,24062.5,0.35,Outlet
2,Foot Locker,1185732,27-10-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,45,225,101250,30375,0.3,Outlet
3,Foot Locker,1185732,28-10-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,45,475,213750,117562.5,0.55,Outlet
4,Foot Locker,1185732,29-10-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,45,125,56250,19687.5,0.35,Outlet
5,Foot Locker,1185732,30-10-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,35,175,61250,24500,0.4,Outlet
6,Foot Locker,1185732,31-10-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,40,50,20000,8000,0.4,Outlet
7,Foot Locker,1185732,01-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,55,125,68750,24062.5,0.35,Outlet
8,Foot Locker,1185732,02-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,45,225,101250,30375,0.3,Outlet
9,Foot Locker,1185732,03-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,50,445,222500,122375,0.55,Outlet
10,Foot Locker,1185732,04-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,50,150,75000,26250,0.35,Outlet
11,Foot Locker,1185732,05-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,40,175,70000,28000,0.4,Outlet
12,Foot Locker,1185732,06-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,45,25,11250,4500,0.4,Outlet
13,Foot Locker,1185732,07-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,60,75,45000,13500,0.3,Outlet
14,Foot Locker,1185732,08-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,50,175,87500,21875,0.25,Outlet
15,Foot Locker,1185732,09-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,50,450,225000,112500,0.5,Outlet
16,Foot Locker,1185732,10-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,50,150,75000,22500,0.3,Outlet
17,Foot Locker,1185732,11-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,40,150,60000,21000,0.35,Outlet
18,Foot Locker,1185732,12-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,45,75,33750,11812.5,0.35,Outlet
19,Foot Locker,1185732,13-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,60,75,45000,13500,0.3,Outlet
20,Foot Locker,1185732,14-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,50,200,100000,25000,0.25,Outlet
21,Foot Locker,1185732,15-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,60,470,282000,141000,0.5,Outlet
22,Foot Locker,1185732,16-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,60,175,105000,31500,0.3,Outlet
23,Foot Locker,1185732,17-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,55,150,82500,28875,0.35,Outlet
24,Foot Locker,1185732,18-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,55,100,55000,19250,0.35,Outlet
25,Foot Locker,1185732,19-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,65,125,81250,24375,0.3,Outlet
26,Foot Locker,1185732,20-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,70,250,175000,52500,0.3,Outlet
27,Foot Locker,1185732,21-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,65,500,325000,178750,0.55,Outlet
28,Foot Locker,1185732,22-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,60,250,150000,52500,0.35,Outlet
29,Foot Locker,1185732,23-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,55,175,96250,38500,0.4,Outlet
30,Foot Locker,1185732,24-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,55,150,82500,33000,0.4,Outlet
31,Foot Locker,1185732,25-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,65,150,97500,34125,0.35,Outlet
32,Foot Locker,1185732,26-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,70,300,210000,63000,0.3,Outlet
33,Foot Locker,1185732,27-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,65,500,325000,178750,0.55,Outlet
34,Foot Locker,1185732,28-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,60,300,180000,63000,0.35,Outlet
35,Foot Locker,1185732,29-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,55,225,123750,49500,0.4,Outlet
36,Foot Locker,1185732,30-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,55,175,96250,38500,0.4,Outlet
37,Foot Locker,1185732,01-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,65,200,130000,45500,0.35,Outlet
38,Foot Locker,1185732,02-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,70,375,262500,78750,0.3,Outlet
39,Foot Locker,1185732,03-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,65,525,341250,187687.5,0.55,Outlet
